From_Station	To_Station	Line_Name	Travel_Time_Min
Rithala	Rohini West	R_RD	3
Rohini West	Rohini East	R_RD	2
Rohini East	Pitampura	R_RD	2
Pitampura	Kohat Enclave	R_RD	2
Kohat Enclave	Netaji Subash Place	R_RD	2
Netaji Subash Place	Keshav Puram	R_RD	2
Keshav Puram	Kanhaiya Nagar	R_RD	2
Kanhaiya Nagar	Inderlok	R_RD	2
Inderlok	Shastri Nagar	R_RD	2
Shastri Nagar	Pratap Nagar	R_RD	3
Pratap Nagar	Pul Bangash	R_RD	2
Pul Bangash	Tis Hazari	R_RD	2
Tis Hazari	Kashmere Gate	R_RD	2
Kashmere Gate	Shastri Park	R_RD	3
Shastri Park	Seelam Pur	R_RD	3
Seelam Pur	Welcome	R_RD	2
Welcome	Shahdara	R_RD	2
Shahdara	Mansrover park	R_RD	2
Mansrover park	Jhilmil	R_RD	2
Jhilmil	Dilshad Garden	R_RD	2
Rithala	Rohini West	R_RS	3
Rohini West	Rohini East	R_RS	2
Rohini East	Pitampura	R_RS	2
Pitampura	Kohat Enclave	R_RS	2
Kohat Enclave	Netaji Subash Place	R_RS	2
Netaji Subash Place	Keshav Puram	R_RS	2
Keshav Puram	Kanhaiya Nagar	R_RS	2
Kanhaiya Nagar	Inderlok	R_RS	2
Inderlok	Shastri Nagar	R_RS	2
Shastri Nagar	Pratap Nagar	R_RS	3
Pratap Nagar	Pul Bangash	R_RS	2
Pul Bangash	Tis Hazari	R_RS	2
Tis Hazari	Kashmere Gate	R_RS	2
Kashmere Gate	Shastri Park	R_RS	3
Shastri Park	Seelam Pur	R_RS	3
Seelam Pur	Welcome	R_RS	2
Welcome	Shahdara	R_RS	2
Shahdara	Mansrover park	R_RS	2
Mansrover park	Jhilmil	R_RS	2
Jhilmil	Dilshad Garden	R_RS	2
Dilshad Garden	Shaheed Nagar	R_RS	2
Shaheed Nagar	Raj Bagh	R_RS	2
Raj Bagh	Major Mohit Sharma Rajender Nagar	R_RS	2
Major Mohit Sharma Rajender Nagar	Shyam Park	R_RS	2
Shyam Park	Mohan Nagar	R_RS	2
Mohan Nagar	Arthala	R_RS	1
Arthala	Hindon River	R_RS	3
